icnrtname,applydate,genwaste,bizgenwaste,icnrtproqt,btmdustqt,flyashsoldqt,eqeffgasacqt,acteleqt,actseqt,actsep,seincome,oprthour,nooprthour,dsnprcqt,dustlandfillqt,brheat,applyno
彰化縣溪州垃圾焚化廠,200306,22127.31,1782.16,24560,3749.92,1242.74,10582,11174,8383.1,75.023,13635,1412,28,900,3723.21,0.000,wepn3259
嘉義市垃圾焚化廠,200306,7748.92,0,7395,804.32,144.606,1750,1752,1127.6,64.36,1599.727,1440,0,300,990.48,0.000,wepi2617
高雄市政府環境保護局中區資源回收廠,200306,26192.6,0,22948,2869,503,9000,7226.29,4236.4,58.624,6306.646,1825,335,900,3325.07,0.000,wepe5004
桃園市垃圾焚化廠,200306,35517.31,4276.96,39601,6234.84,1989.5,21010,21913.1,18936.6,86.416,32884,1440,0,1350,0,0.000,weph4335
新北市新店垃圾焚化廠,200306,22835.11,0,22063,3097.79,424.23,7048,9812.9,7671.4,78.176,11725.5,1407,33,900,0,0.000,WEPF0537
屏東縣崁頂垃圾資源回收(焚化)廠,200306,19041.55,4952.68,21363.52,3241.45,1048.62,13665.7,8918.9,6339.4,71.078,7537.5,1440,0,900,4027.38,0.000,WEPT5929
嘉義縣鹿草垃圾焚化廠,200308,25248.08,4384.9,27971,3938.62,1085,6576,16755.6,13830.9,82.544,0,1488,0,900,0,0.000,WEPQ7513
臺南市城西垃圾焚化廠,200308,17468.01,0,20605,3124.82,626.6,5859.93,9314.16,7028.16,75.456,11459.52,1462,26,900,2992.94,1.880,WEPD3244
臺中市文山垃圾焚化廠,200307,20687.69,2180.31,20142,2265.08,969.66,10735.56,8489.15,6379.68,75.151,9725.923,2187,45,900,3342.61,0.000,wepb2401
新北市新店垃圾焚化廠,200307,20542.85,0,22238,3575.57,443.96,7395,10129.5,7881.5,77.807,12029.7,1477.5,10.5,900,0,0.000,wepf0537
高雄市政府環境保護局南區資源回收廠,200305,24003.7,16670.1,40122,7341.6,1909,19820,18948.27,13772.8,72.686,17813.31,2253,723,1800,5236.17,0.000,wepe5641
